"CdS32nm_on_SLG_R"
"Wavelength nm."	"R%"
1382.00000	10.00867
1384.00000	9.96370
1386.00000	9.92693
1388.00000	9.96814
1390.00000	9.94838
1392.00000	9.95563
1394.00000	9.91015
1396.00000	9.94173
1398.00000	9.94648
1400.00000	9.98389
1402.00000	9.93087
1404.00000	9.89492
1406.00000	9.81540
1408.00000	9.76480
1410.00000	9.74589
1412.00000	9.75658
1414.00000	9.80307
1416.00000	9.77100
1418.00000	9.75065
1420.00000	9.72245
1422.00000	9.71314
1424.00000	9.68227
1426.00000	9.63295
1428.00000	9.58363
1430.00000	9.55380
1432.00000	9.58321
1434.00000	9.63454
1436.00000	9.66894
1438.00000	9.61165
1440.00000	9.56037
1442.00000	9.50524
1444.00000	9.55112
1446.00000	9.53339
1448.00000	9.54000
1450.00000	9.44963
1452.00000	9.47885
1454.00000	9.45808
1456.00000	9.49017
1458.00000	9.51645
1460.00000	9.50877
1462.00000	9.51357
1464.00000	9.47807
1466.00000	9.52237
1468.00000	9.44292
1470.00000	9.40708
1472.00000	9.27137
1474.00000	9.26368
1476.00000	9.30341
1478.00000	9.32180
1480.00000	9.28747
1482.00000	9.19848
1484.00000	9.22993
1486.00000	9.33704
1488.00000	9.42056
1490.00000	9.43992
1492.00000	9.40421
1494.00000	9.35836
1496.00000	9.38843
1498.00000	9.37881
1500.00000	9.30961
1502.00000	9.18841
1504.00000	9.18033
1506.00000	9.23274
1508.00000	9.20138
1510.00000	9.23405
1512.00000	9.17484
1514.00000	9.26468
1516.00000	9.18584
1518.00000	9.23915
1520.00000	9.22429
1522.00000	9.21321
1524.00000	9.15236
1526.00000	9.16762
1528.00000	9.20498
1530.00000	9.22194
1532.00000	9.12845
1534.00000	9.08559
1536.00000	9.04855
1538.00000	9.09868
1540.00000	9.10100
1542.00000	9.15678
1544.00000	9.21111
1546.00000	9.24687
1548.00000	9.20045
1550.00000	9.08427
1552.00000	9.10051
1554.00000	9.02391
1556.00000	9.00299
1558.00000	8.94989
1560.00000	9.09846
1562.00000	9.01143
1564.00000	8.90969
1566.00000	8.89535
1568.00000	8.96663
1570.00000	8.96315
1572.00000	8.94653
1574.00000	8.97311
1576.00000	9.05007
1578.00000	8.99118
1580.00000	8.94647
1582.00000	8.90899
1584.00000	8.90656
1586.00000	8.88890
1588.00000	8.82265
1590.00000	8.70996
1592.00000	8.69472
1594.00000	8.74807
1596.00000	8.71697
1598.00000	8.80437
1600.00000	8.64742
1602.00000	8.82296
1604.00000	8.78555
1606.00000	8.90699
1608.00000	8.79047
1610.00000	8.76750
1612.00000	8.66187
1614.00000	8.76022
1616.00000	8.73757
1618.00000	8.83979
1620.00000	8.68241
1622.00000	8.73859
1624.00000	8.76992
1626.00000	8.81722
1628.00000	8.70131
1630.00000	8.63756
1632.00000	8.61124
1634.00000	8.59534
1636.00000	8.61100
1638.00000	8.59059
1640.00000	8.58809
1642.00000	8.59665
1644.00000	8.69511
1646.00000	8.68769
1648.00000	8.56736
1650.00000	8.33060
1652.00000	8.31779
1654.00000	8.31164
1656.00000	8.43458
1658.00000	8.53271
1660.00000	8.61280
1662.00000	8.67771
1664.00000	8.63447
1666.00000	8.58541
1668.00000	8.51975
1670.00000	8.42736
1672.00000	8.44651
1674.00000	8.37085
1676.00000	8.39189
1678.00000	8.43144
1680.00000	8.31479
1682.00000	8.38174
1684.00000	8.42981
1686.00000	8.63489
1688.00000	8.67984
1690.00000	8.67263
1692.00000	8.72010
1694.00000	8.62630
1696.00000	8.60050
1698.00000	8.53003
1700.00000	8.46535
1702.00000	8.41351
1704.00000	8.35586
1706.00000	8.39478
1708.00000	8.29883
1710.00000	8.30469
1712.00000	8.27654
1714.00000	8.35382
1716.00000	8.14963
1718.00000	8.14419
1720.00000	7.99162
1722.00000	8.10835
1724.00000	8.16450
1726.00000	8.31327
1728.00000	8.39218
1730.00000	8.38104
1732.00000	8.27742
1734.00000	8.31678
1736.00000	8.21195
1738.00000	8.26448
1740.00000	8.22774
1742.00000	8.18110
1744.00000	8.17795
1746.00000	8.05346
1748.00000	8.05930
1750.00000	8.07212
1752.00000	8.11222
1754.00000	8.00420
1756.00000	7.89354
1758.00000	7.79713
1760.00000	8.03614
1762.00000	8.18274
1764.00000	8.25140
1766.00000	8.24430
1768.00000	8.11140
1770.00000	8.14656
1772.00000	8.08582
1774.00000	8.04439
1776.00000	7.97831
1778.00000	7.96108
1780.00000	8.11913
1782.00000	8.25941
1784.00000	8.25200
1786.00000	8.03893
1788.00000	7.96542
1790.00000	7.82426
