	total	Li+	C+	CH+	CH_2+	CH_3+	Na+	Mg+	Al+	Si+	^34S+	K+	^41K+	^29SiO+	Na_2+	Cu+	Zn+	^65Cu+	AlF_2+	^66Zn+	^76Se+	^78Se+	Rb+	^87Rb+	^92Mo+	^96Mo+	Mo+	^110Cd+	^112Cd+	^113Cd+	Cd+	^118Sn+	^119Sn+	Sn+	Cs+
		7,0161	12,0008	13,0073	14,0155	15,0242	22,9873	23,9824	26,9813	27,9791	33,9699	38,9629	40,9608	44,9839	45,9731	62,9227	63,9207	64,9199	64,9691	65,9201	75,9117	77,9091	84,9167	86,9050	91,9018	95,8992	97,8994	109,8931	111,8927	112,8939	113,8930	117,8912	118,8927	119,8916	132,8888
Sputter Time (s)	Intensity (Raw)	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	
45,9992	81062	0	1,00002	1,00001	3,00016	14,003	4012,24	1,00001	2,00003	1,00001	0	915,405	69,0384	1,00001	0	15278,1	1917,71	6588,17	12,1854	1086,18	77,0713	199,331	79,05	12,0011	25,0048	127,123	29,0064	3,00007	139,148	68,0363	110,094	3068,03	1075,08	4103,92	1311,74	
47,9992	81691	0	1,00001	0	1,00002	10,0017	4004,5	0	0	3,00007	0	961,056	67,0373	1,00002	0	15508,2	1997,9	6617,76	5,54061	1135,99	73,0571	214,36	68,0353	15,0019	27,006	110,092	25,0051	2,00003	118,112	70,0374	103,084	3130,87	1081,18	4225,7	1360,64	
49,9991	81483	0	1,00001	1,00001	2,00006	6,00073	3777,77	0	2,00003	2,00006	0	942,806	50,0198	0	0	15281	2027,88	6621,55	14,4075	1042,4	86,0721	181,271	63,0307	12,0011	23,004	124,117	17,0022	2,00003	141,154	49,0183	97,0733	3114,79	1102,59	4187,25	1327,99	
51,9991	81738	0	0	1,00001	3,00011	7,00134	3761,11	0	1,00001	2,00003	0	883,975	69,0384	0	2,00003	15641,2	2010,27	6656,45	23,2875	1077,98	65,055	240,464	63,0312	11,0009	26,006	106,087	16,002	0	127,129	62,0303	106,087	3089,92	1087,16	4152,22	1375,22	
53,9991	81945	0	3,00011	0	0	9,00172	3671,55	0	1,00001	2,00003	0	917,419	77,0499	0	0	15687,3	2037,85	6841,74	15,5644	1066,78	78,0649	190,296	58,0257	15,0022	27,0056	92,0646	15,0017	3,00008	129,127	70,0417	92,0674	3162,26	1119,77	4326,99	1363,71	
55,9990	81801	0	2,00006	0	1,00004	9,00103	3540,35	0	0	1,00001	0	817,097	68,0374	4,00012	1,00001	15661,9	1956,63	6716,91	17,7562	1094,35	78,0796	197,322	68,0353	13,0015	19,0036	118,106	35,0093	0	156,188	76,0464	85,0577	3158,21	1154,51	4332,27	1321,89	
57,9990	82139	0	1,00001	0	1,00004	6,00082	3439,36	0	2,00006	0	0	872,813	53,023	0	1,00001	15844,5	2033,18	6762,52	11,1052	1099,3	83,0692	218,392	72,0406	10,0008	22,0042	117,106	23,0044	3,00011	136,145	69,0374	102,079	3262,08	1106,47	4213,06	1414,85	
59,9989	81732	0	2,00006	1,00002	2,00003	9,0013	3329,51	0	0	1,00002	0	844,417	58,0257	3,00011	0	15796,2	1907,05	6752,12	6,66033	1091,18	83,0729	186,299	69,0384	10,0009	34,0088	104,086	21,0034	2,00005	136,145	52,0214	89,0618	3246,05	1204,29	4208,46	1385,12	
61,9989	82144	0	0	0	4,00024	5,00095	3229,77	1,00001	0	4,00018	0	864,693	53,0214	0	0	16256,6	1900,9	6926,24	13,3599	1074,95	75,0657	176,253	78,0488	7,00037	27,006	117,106	26,0052	1,00001	119,108	56,0239	89,0618	3166,11	1141,19	4311,78	1409,69	
63,9989	82596	0	0	0	2,00006	9,00089	3288,54	0	0	2,00003	0	830,288	52,0222	0	2,00003	16036,5	2015,4	6924,16	10,0205	1113,61	83,0721	205,349	68,0363	6,00027	18,0025	113,098	21,0037	0	139,152	58,0266	112,097	3267,07	1128,84	4273,58	1403,64	
