subplots_adjust	0.15
fontsize	10.0
title	Tabulated values of the Shockley-Queisser limit for single junction solar cells, Table S1
xlabel	Energy [eV]
ylabel	Quantity
xlim	['', '']
ylim	['', '']
meastype	Graph
[ev]	[nm]	[mA/cm2]	[mA/cm2]	[mA/cm2]	[V]	[V]	[%]	[%]
authors	Sven Ruehle
caption	Detailed balance limit for a single junction solar cell at a cell temperature Tc of 25 °C illuminated by the AM 1.5G spectral irradiance (ASTM G173-03) as a function of the energy band gap Eg and band gap wavelength lambda_g considering radiative emission from the front and rear side of the solar cell as shown in Fig. 2a.
comment	SI, table S1 (no reflector: unfavorable case)
doi	10.1016/j.solener.2016.02.015
label	$\\lambda$g [nm]	Jmax [mA/cm2]	Jsc [mA/cm2]	Jmpp [mA/cm2]	Voc [V]	Vmpp [V]	FF [%]	$\\eta$ [%]
linestyle	none
publication	Solar Energy 130 (2016) 139-147
url	http://dx.doi.org/10.1016/j.solener.2016.02.015
2.15	576.7	11.52	11.52	11.35	1.823	1.715	92.7	19.46
2.16	574.0	11.34	11.34	11.17	1.832	1.724	92.7	19.25
2.17	571.4	11.15	11.15	10.99	1.842	1.733	92.7	19.04
2.18	568.7	10.97	10.97	10.81	1.851	1.742	92.8	18.84
2.19	566.1	10.8	10.8	10.64	1.861	1.752	92.8	18.63
2.2	563.6	10.62	10.62	10.47	1.87	1.761	92.8	18.42
2.21	561.0	10.44	10.44	10.29	1.879	1.77	92.8	18.22
2.22	558.5	10.27	10.27	10.13	1.889	1.779	92.9	18.01
2.23	556.0	10.1	10.1	9.96	1.898	1.789	92.9	17.81
2.24	553.5	9.93	9.93	9.79	1.907	1.798	92.9	17.6
2.25	551.0	9.76	9.76	9.62	1.917	1.807	93.0	17.39
2.26	548.6	9.6	9.6	9.46	1.926	1.816	93.0	17.18
2.27	546.2	9.43	9.43	9.3	1.935	1.825	93.0	16.97
2.28	543.8	9.27	9.27	9.14	1.945	1.835	93.0	16.76
2.29	541.4	9.11	9.11	8.98	1.954	1.844	93.1	16.56
2.3	539.1	8.96	8.96	8.84	1.963	1.853	93.1	16.37
2.31	536.7	8.8	8.8	8.68	1.973	1.862	93.1	16.16
2.32	534.4	8.64	8.64	8.53	1.982	1.871	93.1	15.95
2.33	532.1	8.5	8.5	8.38	1.991	1.881	93.2	15.76
