comment0	Data must be within [0,1] and NOT in %.
comment1	Feel free to add the reflectance and transmittance spectra of your substrates. Set labels as '<substrate> R' and '<substrate> T'
ylabel	Transmittance, Reflectance [%]
xlabel	Wavelength [nm]
_spectrumguidark	True	True
_spectrumguioffset	True	True
_spectrumsubclass	CurveSpectrumReflectance	CurveSpectrumTransmittance
curve	Curve Spectrum	Curve Spectrum
label	SLG R	SLG T
nm	Reflectance [ ]	Transmittance [ ]
836.0	0.081486575	0.916816539
838.0	0.081600377	0.916741209
840.0	0.081642176	0.917002046
842.0	0.081391597	0.917238994
844.0	0.081287916	0.917303292
846.0	0.08149131	0.917215464
848.0	0.081642116	0.917033576
850.0	0.081728272	0.91689604
852.0	0.081700929	0.916954247
854.0	0.081783129	0.917197973
856.0	0.081812183	0.916876704
858.0	0.081234672	0.917229945
860.0	0.081553463	0.91693855
862.0	0.081804028	0.917790639
864.0	0.081807798	0.917300293
866.0	0.081720655	0.916677899
868.0	0.08138899	0.917171446
870.0	0.082046319	0.916843111
872.0	0.081955016	0.918307201
874.0	0.080352123	0.917738483
876.0	0.078141336	0.91789745
878.0	0.080071116	0.916820997
880.0	0.083950024	0.916221702
882.0	0.085708395	0.915068657
884.0	0.084857267	0.91587889
886.0	0.081601572	0.916527598
888.0	0.079347762	0.920376401
890.0	0.07828325	0.919344826
892.0	0.075840932	0.917006073
894.0	0.07728044	0.915387971
896.0	0.07726348	0.919036659
898.0	0.079524759	0.92148288
900.0	0.080058021	0.920456703
902.0	0.079053722	0.918127312
904.0	0.077504311	0.917995325
906.0	0.0782024	0.919410748
908.0	0.07821529	0.916493301
910.0	0.079103992	0.917731116
912.0	0.079473707	0.914170296
914.0	0.079866049	0.916342926
916.0	0.082167931	0.915217834
918.0	0.080851279	0.91651248
920.0	0.081167203	0.917927401
922.0	0.079592616	0.916912613
924.0	0.080725706	0.917066713
926.0	0.080804996	0.915202974
928.0	0.081103705	0.915320156
930.0	0.080202686	0.915182974
932.0	0.078809943	0.917392294
934.0	0.080029999	0.917583042
