subplots_adjust	0.15
fontsize	10.0
ylim	[-inf, inf]
xlabel	ylim
ylabel	(-inf, inf)
text	[]
textxy	[]
textargs	[]
legendproperties	{'fontsize': 8.0, 'loc': 'best'}
meastype	Undetermined data type
_fitdiode_rsquare_diode	0.9993673482035441	0.9993215251782308	0.9994547653603331	0.9988358708695165	0.9991558822483148	0.9992358988176301			0.9993664958337453			0.9998890406949219			0.9993647873631069			0.9996622468371456			0.999408443852897			0.9997310998918101			0.9993823884130815			0.9999399082823964			0.9993603641598185
_fitdiodeweight	5.0	5.0	5.0	5.0	5.0	5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0			5.0
_units	['V', 'mAcm-2']	['V', 'mAcm-2']	['V', 'mAcm-2']	['V', 'mAcm-2']	['V', 'mAcm-2']	['V', 'mAcm-2']			['V', 'mAcm-2']			['V', 'mAcm-2']			['V', 'mAcm-2']			['V', 'mAcm-2']			['V', 'mAcm-2']			['V', 'mAcm-2']			['V', 'mAcm-2']			['V', 'mAcm-2']			['V', 'mAcm-2']
acquis soft (cell comment)												Error: Could not determine Voc and/or FF(MPP)						Error: Could not determine Voc and/or FF(MPP)						Error: Could not determine Voc and/or FF(MPP)						Error: Could not determine Voc and/or FF(MPP)
acquis soft cell area	0.57	0.57	0.57	0.57	0.57	0.57			0.54			0.540001			0.54			0.540001			0.54			0.540001			0.54			0.540001			0.54
acquis soft datetime	03.10.2016 10:16:27	03.10.2016 10:06:34	03.10.2016 10:08:34	03.10.2016 10:04:17	03.10.2016 10:06:52	03.10.2016 10:08:54			15.04.2025 13:52:15			15.04.2025 13:59:05			15.04.2025 13:58:26			15.04.2025 13:48:33			15.04.2025 13:48:02			15.04.2025 13:54:07			15.04.2025 13:53:37			15.04.2025 14:01:23			15.04.2025 14:00:49
-0.2798	-33.58254880733944	-33.60655036764705	-34.162630970149245	-34.082403321033205	-33.781840250447225	-33.599335191637635		-0.98	-19.194407220216604		-0.9499879	-0.10988960460794822		-0.98	-18.205216635859518		-0.9499934	-0.6127942919449999		-0.98	-19.575038571428568		-0.9499881	-0.22099311137340427		-0.98	-18.776805319148938		-0.9499897	-0.19338674344403664		-0.98	-18.398364770642203
-0.25965	-33.58745394495412	-33.60858308823529	-34.18126231343283	-34.09345627306272	-33.77293846153846	-33.621708188153306		-0.96	-19.168557400722023		-0.9000294	-0.10292439023068391		-0.96	-18.18210942698706		-0.9000279	-0.5767448859012498		-0.96	-19.500537857142856		-0.9000236	-0.20787415090886524		-0.96	-18.710597872340426		-0.9000407	-0.18242511947504583		-0.96	-18.349417981651374
-0.23945	-33.59619743119266	-33.61508988970588	-34.207167537313424	-34.10335239852398	-33.77839373881932	-33.60334703832753		-0.94	-19.132170758122744		-0.8500997	-0.09644941890545285		-0.94	-18.122649537892794		-0.8500936	-0.5404672330062499		-0.94	-19.436682857142856		-0.8500872	-0.19350495408652485		-0.94	-18.68942872340426		-0.8501097	-0.17083233837394493		-0.94	-18.3140752293578
-0.2193	-33.6163095412844	-33.61549852941176	-34.19117350746268	-34.114499999999985	-33.78195241502683	-33.618014111498255		-0.92	-19.097528880866424		-0.8000477	-0.09087113870471349		-0.92	-18.08980036968577		-0.8000438	-0.5018638150899999		-0.92	-19.388719285714284		-0.8000401	-0.17929239585212767		-0.92	-18.659202127659576		-0.8000563	-0.15828033714788986		-0.92	-18.27967376146789
-0.199125	-33.58493339449541	-33.61106636029411	-34.17277611940298	-34.11750774907749	-33.76396529516994	-33.603714459930316		-0.9	-19.06048916967509		-0.750014	-0.0837713133572828		-0.9	-18.06318964879852		-0.750011	-0.46607235595249996		-0.9	-19.349125714285712		-0.7500312	-0.1652481570783688		-0.9	-18.6248585106383		-0.7500281	-0.1474012491115596		-0.9	-18.244023853211008
-0.178945	-33.59783944954128	-33.622235845588236	-34.16804384328358	-34.095054797047965	-33.752198211091226	-33.60520400696864		-0.88	-19.049708664259924		-0.6999504	-0.07655115063358593		-0.88	-18.04056155268022		-0.6999413	-0.42793574961499997		-0.88	-19.29042964285714		-0.6999601	-0.15148722733989362		-0.88	-18.593904255319153		-0.699959	-0.1345279225198165		-0.88	-18.2080271559633
-0.15877	-33.60684440366972	-33.61506893382352	-34.183995335820896	-34.119884501845014	-33.74575384615384	-33.601341114982574		-0.86	-19.017259927797834		-0.6499995	-0.06985856189981515		-0.86	-18.009129759704255		-0.6499968	-0.39135183900999987		-0.86	-19.22804035714286		-0.6500083	-0.1380092236572695		-0.86	-18.568560638297875		-0.6500074	-0.12285260548605502		-0.86	-18.187338715596333
-0.138595	-33.5946390825688	-33.61623198529411	-34.17754029850746	-34.113869003690034	-33.76726905187835	-33.61538257839722		-0.84	-18.9748202166065		-0.6000422	-0.06355360604654342		-0.84	-17.966947874306836		-0.6000341	-0.35745626552624993		-0.84	-19.182111428571428		-0.6000404	-0.12473036927960991		-0.84	-18.539837234042558		-0.6000459	-0.11159422867394493		-0.84	-18.160962935779818
-0.11842	-33.57400403669724	-33.61825422794117	-34.15204981343284	-34.093656088560884	-33.75781663685151	-33.5933968641115		-0.82	-18.96011155234657		-0.5500454	-0.05701902499909427		-0.82	-17.944389648798523		-0.5500452	-0.32220577167625		-0.82	-19.14869892857143		-0.5500538	-0.1121286225388298		-0.82	-18.512406382978728		-0.5500502	-0.10159271657467889		-0.82	-18.13611302752294
-0.098245	-33.563963669724764	-33.612019852941174	-34.14495671641791	-34.08778782287823	-33.752575491949905	-33.603714459930316		-0.8	-18.925742599277978		-0.5000166	-0.05104793150160812		-0.8	-17.93394898336414		-0.5000074	-0.2888235848575		-0.8	-19.09413		-0.500016	-0.09995140849911348		-0.8	-18.471791489361706		-0.5000163	-0.08988804132141283		-0.8	-18.101632293577982
-0.07807	-33.57928568807339	-33.617112132352936	-34.14558414179103	-34.08532693726937	-33.751056171735236	-33.59947421602787		-0.78	-18.897036823104692		-0.4499395	-0.04516042337147874		-0.78	-17.907018853974126		-0.4499393	-0.25639604266374993		-0.78	-19.03917535714286		-0.449948	-0.08828400710562058		-0.78	-18.451972340425534		-0.4499561	-0.0800200828639633		-0.78	-18.06815229357798
-0.057895	-33.56997743119266	-33.612501838235296	-34.14848731343283	-34.108526568265674	-33.7456212880143	-33.58613780487805		-0.76	-18.8580476534296		-0.3999361	-0.039337815176691306		-0.76	-17.857450646950088		-0.3999334	-0.22482488419874996		-0.76	-18.99710357142857		-0.3999366	-0.07705556716331559		-0.76	-18.413348936170216		-0.399938	-0.07044352678100917		-0.76	-18.04886091743119
-0.03772	-33.57205871559633	-33.60275735294117	-34.151815858208955	-34.11613007380073	-33.767544364937386	-33.57020958188153		-0.74	-18.835921299638986		-0.3499634	-0.03489990529476894		-0.74	-17.835680961182995		-0.349963	-0.19355979058624997		-0.74	-18.94674857142857		-0.3499663	-0.06620245663946808		-0.74	-18.392390425531918		-0.349968	-0.05967704629266054		-0.74	-18.017451743119267
-0.017545	-33.56304330275229	-33.59486746323529	-34.14171324626866	-34.077954797047965	-33.743949016100174	-33.57157996515679		-0.72	-18.808443682310468		-0.3000275	-0.02910990677219963		-0.72	-17.807513123844732		-0.3000529	-0.16375511039249996		-0.72	-18.911860714285712		-0.3000349	-0.055846194908049644		-0.72	-18.348098936170214		-0.3000387	-0.05153396992851376		-0.72	-17.983436697247708
0.00263	-33.5510262385321	-33.60638272058822	-34.1323869402985	-34.08022638376383	-33.728337745974954	-33.57956393728223		-0.7	-18.77538086642599		-0.2500132	-0.023226670738706098		-0.7	-17.777478743068393		-0.2500275	-0.13583590154749997		-0.7	-18.840320357142854		-0.250014	-0.04578997841312057		-0.7	-18.320830851063835		-0.2500087	-0.04200018786972477		-0.7	-17.9638976146789
0.022805	-33.55766752293577	-33.57797702205882	-34.12759085820895	-34.078428044280436	-33.72189338103756	-33.58161951219512		-0.68	-18.740670758122743		-0.2000386	-0.01893994117371534		-0.68	-17.747863585951936		-0.2000398	-0.10706300897874999		-0.68	-18.79776642857143		-0.2000312	-0.03622110324620567		-0.68	-18.29457765957447		-0.2000181	-0.033435137880110086		-0.68	-17.923501651376146
0.04298	-33.54453137614678	-33.58148713235293	-34.11821138059701	-34.089396863468636	-33.71321592128801	-33.55254355400697		-0.66	-18.712130685920577		-0.1500375	-0.013406717618336412		-0.66	-17.709055452865066		-0.1500395	-0.07905851854724998		-0.66	-18.75560785714286		-0.1500245	-0.026801915590531914		-0.66	-18.265624468085107		-0.1500304	-0.024130950374935775		-0.66	-17.915545321100918
0.06316	-33.5664214678899	-33.555313235294115	-34.10580111940298	-34.06487214022139	-33.72266833631484	-33.55893867595819		-0.64	-18.672468953068588		-0.1001266	-0.008884054529556377		-0.64	-17.69672828096118		-0.1000324	-0.05272204299037499		-0.64	-18.71487642857143		-0.1000567	-0.017804665950265957		-0.64	-18.235388297872344		-0.1000515	-0.015738007126055043		-0.64	-17.881837431192658
0.083335	-33.53604935779816	-33.57189981617647	-34.10005858208955	-34.06040258302583	-33.72115921288014	-33.54991202090593		-0.62	-18.64817870036101		-0.05003026	-0.005227212674460259		-0.62	-17.657261367837336		-0.05004047	-0.026711843751999996		-0.62	-18.657819642857138		-0.05004724	-0.008916535767391844		-0.62	-18.196401063829793		-0.0501081	-0.008058262519011008		-0.62	-17.85142899082569
0.10351	-33.52616587155963	-33.577023529411754	-34.10000541044776	-34.04566881918819	-33.69950125223613	-33.542593379790944		-0.6	-18.60689891696751		0.0001257179	-0.0005798893067691311		-0.6	-17.624921256931607		0.0003094372	2.7359999237999998e-05		-0.6	-18.604629642857144		-4.473573e-05	-0.00016562184925975176		-0.6	-18.17862127659575		0.0001174885	-0.0005839603511308256		-0.6	-17.817057247706423
0.123685	-33.523749908256875	-33.54089558823529	-34.093008022388055	-34.03019889298893	-33.69108890876564	-33.53604930313588		-0.58	-18.583661371841156		0.0162185	0.001278930982064695		-0.58	-17.60009722735675		0.02001248	0.010877809072624998		-0.58	-18.572200714285714		0.02002893	0.0033465144951099293		-0.58	-18.139452127659577		0.01032686	0.0019213453562055042		-0.58	-17.799450275229358
